product_id,product_reference,country_id,country,region_id,region,farm,producer_id,producer,variety_id,variety,process_id,process,cup_profile,cup_score,bag_size_kg,bags,bags_available,price_per_kg,harvest_date,status,rotation_number,marks,elevation
51,product_64,19,Colombia,10,Huila,Quebraditas,9,producer_6,16,Typica Mejorado,4,Washed + Thermal Shock,"Raspberry, passion fruit, floral",89,12,1.00,0.00,29.00,June 2024,Sold Out,1024/74/16,TYPICA MEJORADO - 3/2928/00037,1850masl
120,product_65,19,Colombia,10,Huila,Quebraditas,9,producer_6,16,Typica Mejorado,4,Washed + Thermal Shock,"Raspberry, passion fruit, floral",89,24,15.00,15.00,30.00,December 2025,Sold Out,,,1850masl
26,product_66,19,Colombia,15,Huila,Quebraditas,9,producer_6,23,Bourbon Aj’,4,Washed + Thermal Shock,TBC,TBC,24,8.00,0.00,24.50,April 2025,Sold Out,725/30/18,"BORBON AJI	 - 03/2928/00057",1850masl
69,product_67,19,Colombia,10,Huila,Quebraditas,9,producer_6,23,Bourbon Aj’,4,Washed + Thermal Shock,"Floral, citrus, red fruits, spicy",87+,24,12.00,0.00,24.50,August 2025,Sold Out,1125/29/21,Q-17 - BOURBON AJI WASHED,1850masl
119,product_68,19,Colombia,10,Huila,Quebraditas,9,producer_6,23,Bourbon Aj’,4,Washed + Thermal Shock,"Floral, citrus, red fruits, spicy",87+,24,8.00,3.00,24.50,December 2025,Incoming,,,1850masl
143,product_69,19,Colombia,10,Huila,Quebraditas,9,producer_6,12,SL-28,4,Washed + Thermal Shock,"Berry Jam, floral, jazmin, citrus",87+,24,31.00,31.00,18.95,December 2025,Incoming,,,1850masl
68,product_70,19,Colombia,10,Huila,Quebraditas,9,producer_6,12,SL-28,4,Washed + Thermal Shock,"Floral, jazmin, citrus",87+,24,20.00,1.00,18.95,August 2025,Available,1125/29/22,Q-18 - WASHED SL-28,1850masl
24,product_71,19,Colombia,15,Huila,Quebraditas,9,producer_6,12,SL-28,4,Washed + Thermal Shock,"Floral, jazmin, citrus",TBC,24,8.00,0.00,17.80,April 2025,Sold Out,725/30/16,VARIETY SL-28 - 03/2928/00055,1850masl
72,product_72,19,Colombia,10,Huila,Quebraditas,9,producer_6,27,Papayo,27,Advanced Honey,"Fruity, chocolate, mint",86+,24,13.00,0.00,22.00,August 2025,Sold Out,1125/29/23,Q-19 - PAPAYO HONEY,1850masl
101,product_73,19,Colombia,15,Huila,Quebraditas,9,producer_6,27,Papayo,4,Washed + Thermal Shock,TBC,88,24,6.00,1.00,26.50,August 2025,Available,1125/29/24,Q-49 - PAPAYO WASHED,1850masl
138,product_74,19,Colombia,15,Huila,Quebraditas,9,producer_6,11,Sudan Rume,10,Advanced Natural,TBC,88,24,8.00,0.00,33.75,December 2025,Sold Out,,,1850masl
137,product_75,19,Colombia,15,Huila,Quebraditas,9,producer_6,27,Papayo,10,Advanced Natural,TBC,88,24,4.00,0.00,33.75,December 2025,Sold Out,,,1850masl
144,product_76,19,Colombia,15,Huila,Quebraditas,9,producer_6,11,Sudan Rume,4,Washed + Thermal Shock,"Floral, mandarin, peach, citrus",88,24,20.00,17.00,27.00,December 2025,Incoming,,,1850masl
126,product_77,19,Colombia,15,Huila,Quebraditas,9,producer_6,16,Typica Mejorado,10,Advanced Natural,TBC,88,24,6.00,0.00,32.00,December 2025,Incoming,,,1850masl
81,product_78,19,Colombia,15,Huila,Quebraditas,9,producer_6,16,Typica Mejorado,10,Advanced Natural,TBC,TBC,24,3.00,0.00,32.00,August 2025,Sold Out,1125/29/51,QC-03 - TYPICA MEJORADO NATURAL,1850masl
18,product_79,19,Colombia,15,Huila,Quebraditas,9,producer_6,16,Typica Mejorado,10,Advanced Natural,TBC,TBC,24,4.00,0.00,32.00,April 2025,Sold Out,725/30/10 - QC-03,TYPICA MEJORADO NATURAL - 03/2928/00049,1850masl
128,product_80,19,Colombia,10,Huila,Quebraditas,9,producer_6,4,Gesha,10,Advanced Natural,"Lemon tart, peach rings, wildly floral",89.25,24,8.00,0.00,37.00,December 2025,Sold Out,,,1850masl
62,product_81,19,Colombia,10,Huila,Quebraditas,9,producer_6,4,Gesha,10,Advanced Natural,"Lemon tart, peach rings, wildly floral",89.25,24,11.00,0.00,37.00,August 2025,Sold Out,1125/29/25,QC-07 - GESHA NATURAL,1850masl
22,product_82,19,Colombia,15,Huila,Quebraditas,9,producer_6,4,Gesha,10,Advanced Natural,"Lemon tart, peach rings, wildly floral",89.25,24,4.00,0.00,37.00,April 2025,Sold Out,725/30/14 - QC-07,GESHA NATURAL - 03/2928/00053,1850masl
28,product_83,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,13,Peach Co-fermented,Peach,86+,24,8.00,0.00,17.50,April 2025,Sold Out,725/30/20 - QCOF-01,COFERMENTED PEACH - 03/2928/00059,1850masl
65,product_84,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,13,Peach Co-fermented,Peach,86+,24,10.00,0.00,17.50,August 2025,Sold Out,1125/29/27,QCOF-01 - PEACH CO-FERMENTED,1850masl
131,product_85,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,13,Peach Co-fermented,Peach,86+,24,10.00,4.00,17.95,December 2025,Incoming,,,1850masl
29,product_86,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,14,Grape Co-fermented,Grape,86+,24,6.00,3.00,17.50,April 2025,Available,725/30/21 - QCOF-02,COFERMENTED GRAPE - 03/2928/00060,1850masl
30,product_87,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,15,Passion Fruit Co-fermented,Passion fruit,86+,24,8.00,0.00,17.50,April 2025,Sold Out,725/30/22 - QCOF-03,COFERMENTED PASSION FRUIT - 03/2928/00061,1850masl
132,product_88,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,15,Passion Fruit Co-fermented,"Passion fruit, tropical",86+,24,10.00,0.00,17.95,December 2025,Sold Out,,,1850masl
91,product_89,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,15,Passion Fruit Co-fermented,"Passion fruit, tropical",86+,24,6.00,0.00,17.50,August 2025,Sold Out,1125/29/28,QCOF-03 - PASSION FRUIT CO-FERMENTED,1850masl
31,product_90,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,16,Strawberry Co-fermented,Strawberry,86+,24,10.00,0.00,17.50,April 2025,Sold Out,725/30/23 - QCOF-04,COFERMENTED STRAWBERRY - 03/2928/00062,1850masl
133,product_91,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,16,Strawberry Co-fermented,Strawberry,86+,24,18.00,0.00,17.95,December 2025,Sold Out,,,1850masl
66,product_92,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,16,Strawberry Co-fermented,Strawberry,86+,24,25.00,0.00,17.50,August 2025,Sold Out,1125/29/29,QCOF-04 - STRAWBERRY CO-FERMENTED,1850masl
32,product_93,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,17,Lulo Co-fermented,Kiwi - Lulo,86+,24,4.00,2.00,17.50,April 2025,Available,725/30/24 - QCOF-05,COFERMENTED KIWI-LULO - 03/2928/00063,1850masl
33,product_94,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,18,Mandarin Co-fermented,Mandarin,86+,24,4.00,0.00,18.75,April 2025,Sold Out,725/30/25 - QCOF-06,COFERMENTED MANDARINA - 03/2928/00064,1850masl
35,product_95,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,19,Watermelon Co-fermented,Watermelon,86+,24,4.00,0.00,17.50,April 2025,Sold Out,725/30/26 - QCOF-07,COFERMENTED WATERMELON - 03/2928/00065,1850masl
104,product_96,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,19,Watermelon Co-fermented,Watermelon,86+,24,4.00,0.00,17.50,August 2025,Sold Out,1125/29/30,QCOF-07 - WATERMELON CO-FERMENTED,1850masl
34,product_97,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,20,Tropical Fruits Co-fermented,Tropical fruits,86+,24,4.00,0.00,17.50,April 2025,Sold Out,725/30/27 - QCOF-08,COFERMENTED TROPICAL FRUITS - 03/2928/00066,1850masl
36,product_98,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,21,Yellow Fruits Co-fermented,Yellow fruits,86+,24,4.00,0.00,17.50,April 2025,Sold Out,725/30/28 - QCOF-09,COFERMENTED YELLOW FRUITS - 03/2928/00067,1850masl
37,product_99,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,22,Red Fruits Co-fermented,Red fruits,86+,24,4.00,4.00,17.50,April 2025,Available,725/30/29 - QCOF-10,COFERMENTED RED FRUITS - 03/2928/00068,1850masl
82,product_100,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,23,Coconut Co-fermented,"Coconut, peach, cream",86+,24,6.00,0.00,17.50,August 2025,Sold Out,1125/29/31,QCOF-11 - COCONUT CO-FERMENTED,1850masl
38,product_101,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,23,Coconut Co-fermented,Coconut,86+,24,4.00,0.00,17.50,April 2025,Sold Out,725/30/30 - QCOF-11,COFERMENTED COCONUT - 03/2928/00069,1850masl
39,product_102,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,24,Lemongrass Co-fermented,Lemongrass,86+,24,2.00,2.00,17.50,April 2025,Available,725/30/31 - QCOF-12,COFERMENTED LEMONGRASS - 03/2928/00070,1850masl
93,product_103,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,25,Cinnamon Co-fermented,Cinnamon,86+,24,4.00,0.00,17.50,August 2025,Sold Out,1125/29/32,"QCOF-13 - CINNAMON CO-FERMENTED	",1850masl
40,product_104,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,25,Cinnamon Co-fermented,Cinnamon,86+,24,3.00,0.00,17.50,April 2025,Sold Out,725/30/32 - QCOF-13,COFERMENTED CINNAMON - 03/2928/00071,1850masl
73,product_105,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,28,Lychee Co-fermented,TBC,86+,24,4.00,0.00,18.00,August 2025,Sold Out,1125/29/33,"QCOF-14 - LYCHEE CO-FERMENTED	",1850masl
134,product_106,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,31,Blueberry Co-fermented,TBC,86+,24,10.00,0.00,18.50,December 2025,Sold Out,,,1850masl
90,product_107,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,31,Blueberry Co-fermented,TBC,86+,24,2.00,0.00,18.50,August 2025,Sold Out,1125/29/26,QCOF-15 - BLUEBERRY CO-FERMENTED,1850masl
135,product_108,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,30,Pineapple Co-fermented,TBC,86+,24,2.00,0.00,17.95,December 2025,Sold Out,,,1850masl
79,product_109,19,Colombia,15,Huila,Quebraditas,9,producer_6,2,Caturra,30,Pineapple Co-fermented,TBC,86+,24,4.00,0.00,17.50,August 2025,Sold Out,1125/29/34,"QCOF-16 - PINEAPPLE CO-FERMENTED	",1850masl
